name	x	y	level	cluster	boundary
32	209.93204	196.36545	4	0	false
8	286.89252	368.7161	4	5	false
71	-43.879543	-148.98938	4	0	false
245	-3.0503352	-139.82074	4	0	false
81	-130.8426	25.994379	4	3	false
222	-29.999107	-179.09645	4	0	false
258	175.1153	36.055748	4	0	false
24	237.34	191.56995	4	5	false
30	338.3895	284.93704	4	5	false
21	293.99283	355.05276	4	5	false
380	-120.50855	2.415242	4	3	false
307	-128.67429	-50.187744	4	3	false
18	199.5278	264.85883	4	5	false
283	130.06158	-94.57363	4	0	false
214	182.2097	44.192802	4	0	false
84	-69.8521	-138.76537	4	0	false
217	-54.37176	146.52016	4	1	true
387	-26.924736	-164.3811	4	0	false
129	-140.09073	-49.677746	4	4	false
89	-108.22178	55.346073	4	3	false
111	-94.85139	-78.49279	4	0	false
27	346.54486	316.7599	4	5	false
249	148.17017	152.56865	5	0	true
284	5.483133	-120.21488	5	0	false
16	291.3243	272.18958	5	5	false
223	63.847107	148.36472	5	0	false
209	-53.692783	-134.99327	5	0	false
162	175.38728	54.50966	5	0	false
23	210.21979	262.00677	5	5	false
290	25.797575	155.05594	5	1	false
136	61.348694	-125.776085	5	0	false
201	-121.04441	-38.509644	5	4	true
382	-62.191833	38.119244	5	2	false
17	223.12674	255.90039	5	5	false
113	-99.71778	-35.808086	5	3	false
97	156.46066	9.476701	5	0	false
83	147.18646	15.52034	5	0	false
325	34.64501	166.34224	5	1	false
172	115.94166	-72.87768	5	0	false
7	284.4555	351.83887	5	5	false
117	-54.038475	-125.08786	5	0	false
177	-106.9304	-34.307823	5	4	true
377	-26.259296	-133.92604	5	0	false
118	-46.467243	129.8694	5	1	false
294	-76.6607	-90.357765	5	0	false
156	176.91861	113.74183	5	0	false
399	13.744662	146.33679	5	1	false
310	-55.51424	59.599804	5	2	false
206	112.128975	-74.099754	5	0	false
14	279.96518	271.24753	5	5	true
331	153.68518	43.02681	5	0	true
174	-27.907711	95.24175	5	1	false
119	-81.45753	-54.831367	5	0	false
195	-23.427197	-137.0588	5	0	false
384	-76.81651	-62.87932	5	0	true
194	184.36337	138.51822	5	0	false
58	-19.872522	134.63153	5	1	false
181	41.647675	157.96863	5	1	false
349	-91.45429	-39.17324	5	3	false
44	167.985	107.79361	5	0	false
187	-89.63092	20.501394	5	3	false
326	-120.381035	-28.223148	5	4	true
252	141.90118	-27.74444	5	0	false
137	-1.1200047	-128.55455	5	0	false
373	-60.427673	79.642715	5	2	false
266	-40.44808	129.06688	5	1	true
75	141.7599	1.8926382	5	0	false
301	-116.95311	1.0012019	5	3	false
55	130.65175	144.5424	5	0	false
199	80.87208	-77.400215	5	0	false
34	307.4552	279.25977	5	5	true
128	136.4348	-50.806183	5	0	false
2	271.0627	290.44516	5	5	false
102	8.088826	133.29565	6	1	false
275	-54.421	27.905777	6	2	false
134	63.447952	140.90906	6	1	false
176	117.98452	-19.214638	6	0	false
353	-65.528564	-31.630016	6	3	true
335	-41.59499	61.4695	6	2	false
69	-87.936554	1.9060963	6	4	false
236	-90.83008	0.9949421	6	4	false
171	-28.204828	121.205246	6	1	false
396	136.19675	134.4784	6	0	false
140	-40.691048	41.67046	6	2	true
328	50.919987	-71.887436	6	0	false
101	-20.256876	-116.69724	6	0	false
66	-75.721275	-54.918407	6	0	true
376	2.3731508	-122.42618	6	0	false
216	37.451637	-87.28281	6	0	false
164	-64.20457	27.013626	6	3	false
344	110.51102	-52.26508	6	0	false
352	-28.988409	-109.26024	6	0	false
343	-51.981224	61.226284	6	2	false
366	128.0939	27.277637	6	0	false
51	-38.022053	63.27363	6	2	false
288	-38.488876	-101.2896	6	0	false
157	-86.005806	-6.402731	6	4	false
230	145.13303	41.61131	6	0	false
278	68.84535	-54.126793	6	0	false
122	116.34607	-46.63573	6	0	false
79	133.0719	8.060484	6	0	false
76	123.918976	-14.659836	6	0	false
336	-6.189002	126.554474	6	1	false
59	-63.957413	-51.57026	6	3	false
82	-64.25878	30.620596	6	3	false
74	-24.635382	79.99512	6	1	false
279	-21.451674	91.02526	6	1	false
207	4.524404	-106.85393	6	0	false
264	-63.53747	-44.47614	6	3	false
359	85.99086	113.12821	6	0	false
72	124.05033	59.87458	6	0	true
370	59.46272	-61.530514	6	0	false
319	-60.81951	32.717102	6	3	false
228	147.98827	40.42348	6	0	true
378	-21.948057	92.17251	6	1	false
308	81.98253	-52.339447	6	0	false
178	-53.486134	-56.852924	6	0	false
213	-56.060726	-86.997665	6	0	false
229	-100.196434	-29.810425	6	4	false
306	39.59891	137.3929	6	1	false
383	-75.17862	-3.859818	6	3	false
255	43.49993	-83.89186	6	0	false
150	150.73718	105.34767	6	0	false
56	-57.835217	23.523314	7	3	false
88	103.59915	-11.232594	7	0	false
362	64.605255	-37.114655	7	0	false
386	0.9323819	95.748604	7	1	false
226	-54.71788	25.505018	7	3	false
282	-10.436689	70.80897	7	1	false
87	-59.75766	-8.677812	7	3	true
145	-55.03459	-47.0549	7	3	false
246	51.3704	-53.68179	7	0	false
346	55.3883	-55.40208	7	0	false
395	-58.236176	-18.232643	7	3	false
273	-37.000446	36.039364	7	2	false
114	39.52829	95.12931	7	1	false
267	65.60037	73.08777	7	0	false
287	102.3204	-22.530724	7	0	false
90	-29.462177	54.1745	7	2	true
340	13.761006	115.43382	7	1	false
314	36.87984	96.3282	7	1	false
385	-65.77473	-10.6249	7	3	false
221	0.022699973	83.892494	7	1	false
126	86.14205	-37.611675	7	0	false
372	-2.122521	79.57871	7	1	false
320	29.932972	-51.864452	7	0	true
146	53.100674	76.39329	7	1	false
109	9.669985	104.63045	7	1	false
247	24.11325	-59.547226	7	0	false
251	103.555145	80.354034	7	0	false
394	-88.219025	-1.1160643	7	4	false
257	-50.16752	-43.24438	7	0	false
98	-38.766567	60.66739	7	2	false
323	57.59353	-46.732132	7	0	false
268	91.52006	-44.21654	7	0	false
68	-56.096684	-44.106297	7	3	false
139	46.631924	-50.768555	7	0	false
